"Month","Species","Area","Transect","Quadrat","Biomass","Hits","hits_s","hits","species","model"
"May","Gray headed coneflower","NWT","NWT-3",5,0.03,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"May","Little bluestem","NET","NET-2",6,0.03,5,-0.352265207718574,5,"Little bluestem","Model 2"
"May","Bergamot","NET","NET-2",2,0.1,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Bergamot","WMT","WMT-2",6,0.1,0,-0.554602993336625,0,"Bergamot","Model 2"
"May","Bull thistle","NET","NET-2",1,0.1,0,-0.554602993336625,0,"Bull thistle","Model 2"
"May","Dandelion","NET","NET-3",1,0.1,0,-0.554602993336625,0,"Dandelion","Model 2"
"May","Field bindweed","MT","MT-1",2,0.1,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Field bindweed","NWT","NWT-2",4,0.1,1,-0.514135436213015,1,"Field bindweed","Model 2"
"May","Gray headed coneflower","MT","MT-1",6,0.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NET","NET-2",1,0.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NET","NET-2",4,0.1,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NWT","NWT-3",6,0.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Hedge bindweed","MT","MT-1",5,0.1,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Hedge bindweed","MT","MT-1",6,0.1,1,-0.514135436213015,1,"Hedge bindweed","Model 2"
"May","Hedge bindweed","NET","NET-3",6,0.1,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Hedge bindweed","NWT","NWT-2",5,0.1,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"May","Indiangrass","NWT","NWT-2",4,0.1,0,-0.554602993336625,0,"Indiangrass","Model 2"
"May","Ironweed","MT","MT-3",2,0.1,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Ironweed","NWT","NWT-2",2,0.1,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Ironweed","WMT","WMT-3",6,0.1,0,-0.554602993336625,0,"Ironweed","Model 2"
"May","Kentucky bluegrass","MT","MT-3",3,0.1,0,-0.554602993336625,0,"Kentucky bluegrass","Model 2"
"May","Kentucky bluegrass","WMT","WMT-3",5,0.1,0,-0.554602993336625,0,"Kentucky bluegrass","Model 2"
"May","Little bluestem","NET","NET-1",4,0.1,1,-0.514135436213015,1,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-2",5,0.1,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-2",5,0.1,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-2",6,0.1,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Pale purple coneflower","NET","NET-1",6,0.1,1,-0.514135436213015,1,"Pale purple coneflower","Model 2"
"May","Pale purple coneflower","NET","NET-2",6,0.1,0,-0.554602993336625,0,"Pale purple coneflower","Model 2"
"May","Pale purple coneflower","NET","NET-3",6,0.1,1,-0.514135436213015,1,"Pale purple coneflower","Model 2"
"May","Side oats gramma","WMT","WMT-3",1,0.1,4,-0.392732764842184,4,"Side oats gramma","Model 2"
"May","Sweet clover","MT","MT-1",1,0.1,2,-0.473667879089405,2,"Sweet clover","Model 2"
"May","Sweet clover","NET","NET-1",2,0.1,0,-0.554602993336625,0,"Sweet clover","Model 2"
"May","Tumble mustard","WMT","WMT-2",2,0.1,0,-0.554602993336625,0,"Tumble mustard","Model 2"
"May","Yellow nutsedge","NWT","NWT-1",3,0.1,0,-0.554602993336625,0,"Yellow nutsedge","Model 2"
"July","Canada wildrye","WMT","WMT-3",3,0.1,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Compass plant","SET","SET-2",6,0.1,0,-0.554602993336625,0,"Compass plant","Model 2"
"July","Gray headed coneflower","NWT","NWT-2",5,0.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Little bluestem","WMT","WMT-2",2,0.1,3,-0.433200321965794,3,"Little bluestem","Model 2"
"July","Mullein","NWT","NWT-3",1,0.1,0,-0.554602993336625,0,"Mullein","Model 2"
"July","Side oats gramma","SET","SET-1",2,0.1,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Side oats gramma","SET","SET-3",4,0.1,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Smooth brome","NET","NET-2",3,0.1,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Sweet clover","NET","NET-3",3,0.1,0,-0.554602993336625,0,"Sweet clover","Model 2"
"September","Field bindweed","MT","MT-3",5,0.1,0,-0.554602993336625,0,"Field bindweed","Model 2"
